,valid ppl,params,status,job_id
0,24.77,--model=LSTM --emsize=704 --nlayers=3 --lr=40 --bptt=96 --dropout=0.45379139563873483,Job succeeded,71
1,25.28,--model=LSTM --emsize=768 --nlayers=3 --lr=40 --bptt=160 --dropout=0.36957589108869854,Job succeeded,18
2,25.96,--model=LSTM --emsize=1024 --nlayers=3 --lr=19 --bptt=196 --dropout=0.5265528168511943,Job succeeded,57
3,26.04,--model=LSTM --emsize=1024 --nlayers=2 --lr=18 --bptt=196 --dropout=0.43511274025102475,Job succeeded,49
4,26.18,--model=LSTM --emsize=768 --nlayers=2 --lr=20 --bptt=160 --dropout=0.5727598852247421,Job succeeded,15
5,26.76,--model=LSTM --emsize=576 --nlayers=3 --lr=40 --bptt=48 --dropout=0.5655988513572447,Job succeeded,76
6,27.32,--model=GRU --emsize=640 --nlayers=1 --lr=30 --bptt=32 --dropout=0.4349243072860983,Job succeeded,77
7,27.49,--model=LSTM --emsize=768 --nlayers=3 --lr=18 --bptt=256 --dropout=0.5553389903116036,Job succeeded,26
8,27.85,--model=GRU --emsize=576 --nlayers=1 --lr=30 --bptt=48 --dropout=0.38228219532665625,Job succeeded,25
9,27.91,--model=GRU --emsize=576 --nlayers=1 --lr=30 --bptt=48 --dropout=0.2916823909994896,Job succeeded,35
10,28.07,--model=LSTM --emsize=448 --nlayers=1 --lr=22 --bptt=128 --dropout=0.5421746336996519,Job succeeded,30
11,28.37,--model=GRU --emsize=576 --nlayers=1 --lr=19 --bptt=48 --dropout=0.2655524242007307,Job succeeded,23
12,28.46,--model=LSTM --emsize=640 --nlayers=1 --lr=5 --bptt=48 --dropout=0.5914236629666401,Job succeeded,72
13,28.75,--model=GRU --emsize=768 --nlayers=3 --lr=10 --bptt=48 --dropout=0.5034916792806506,Job succeeded,29
14,28.88,--model=GRU --emsize=320 --nlayers=3 --lr=19 --bptt=96 --dropout=0.2783744571074265,Job succeeded,17
15,28.91,--model=GRU --emsize=640 --nlayers=2 --lr=22 --bptt=128 --dropout=0.5646136596411155,Job succeeded,53
16,29.15,--model=LSTM --emsize=512 --nlayers=2 --lr=5 --bptt=32 --dropout=0.12409143426629453,Job succeeded,56
17,29.69,--model=GRU --emsize=768 --nlayers=3 --lr=25 --bptt=160 --dropout=0.405053530252964,Job succeeded,65
18,29.7,--model=LSTM --emsize=320 --nlayers=3 --lr=18 --bptt=256 --dropout=0.23072477157062002,Job succeeded,19
19,29.74,--model=LSTM --emsize=704 --nlayers=3 --lr=20 --bptt=64 --dropout=0.09968534297880054,Job succeeded,33
20,29.8,--model=GRU --emsize=512 --nlayers=2 --lr=12 --bptt=128 --dropout=0.4834832040825197,Job succeeded,8
21,30.08,--model=LSTM --emsize=640 --nlayers=2 --lr=19 --bptt=160 --dropout=0.7080522142753951,Job succeeded,32
22,30.45,--model=LSTM --emsize=196 --nlayers=3 --lr=25 --bptt=128 --dropout=0.2678267146292457,Job succeeded,60
23,30.89,--model=GRU --emsize=224 --nlayers=2 --lr=18 --bptt=128 --dropout=0.08616817496322716,Job succeeded,64
24,31.01,--model=GRU --emsize=448 --nlayers=1 --lr=15 --bptt=32 --dropout=0.10875411356009816,Job succeeded,73
25,31.14,--model=LSTM --emsize=704 --nlayers=3 --lr=12 --bptt=96 --dropout=0.7463721930738447,Job succeeded,84
26,31.45,--model=LSTM --emsize=256 --nlayers=3 --lr=30 --bptt=256 --dropout=0.045991516045160545,Job succeeded,75
27,31.53,--model=GRU --emsize=256 --nlayers=2 --lr=10 --bptt=256 --dropout=0.17133305758245204,Job succeeded,62
28,31.72,--model=GRU --emsize=160 --nlayers=2 --lr=15 --bptt=160 --dropout=0.14440687207447464,Job succeeded,22
29,31.74,--model=LSTM --emsize=512 --nlayers=2 --lr=12 --bptt=256 --dropout=0.03727061572865932,Job succeeded,28
30,31.78,--model=LSTM --emsize=640 --nlayers=1 --lr=22 --bptt=32 --dropout=0.7680446231347046,Job succeeded,80
31,31.87,--model=GRU --emsize=160 --nlayers=3 --lr=22 --bptt=64 --dropout=0.038707837302389005,Job succeeded,41
32,32.26,--model=LSTM --emsize=768 --nlayers=1 --lr=5 --bptt=32 --dropout=0.005328768444719689,Job succeeded,67
33,32.3,--model=LSTM --emsize=256 --nlayers=2 --lr=15 --bptt=160 --dropout=0.4947355042165788,Job succeeded,9
34,32.44,--model=GRU --emsize=512 --nlayers=2 --lr=20 --bptt=64 --dropout=0.08878670859248701,Job succeeded,43
35,32.58,--model=GRU --emsize=256 --nlayers=3 --lr=22 --bptt=16 --dropout=0.37308941322654793,Job succeeded,79
36,34.2,--model=GRU --emsize=160 --nlayers=2 --lr=19 --bptt=32 --dropout=0.32663517903655653,Job succeeded,21
37,34.75,--model=GRU --emsize=196 --nlayers=3 --lr=5 --bptt=48 --dropout=0.3866800375025874,Job succeeded,63
38,35.52,--model=GRU --emsize=128 --nlayers=3 --lr=12 --bptt=160 --dropout=0.17894448585055184,Job succeeded,47
39,35.71,--model=LSTM --emsize=128 --nlayers=3 --lr=25 --bptt=160 --dropout=0.25599493961371683,Job succeeded,38
40,35.84,--model=GRU --emsize=196 --nlayers=3 --lr=15 --bptt=128 --dropout=0.41008661407742253,Job succeeded,24
41,36.26,--model=LSTM --emsize=196 --nlayers=3 --lr=5 --bptt=64 --dropout=0.40808806748071974,Job succeeded,54
42,38.45,--model=LSTM --emsize=128 --nlayers=2 --lr=30 --bptt=196 --dropout=0.3817094832913088,Job succeeded,34
43,40.18,--model=GRU --emsize=384 --nlayers=3 --lr=19 --bptt=256 --dropout=0.4583940227907711,Job succeeded,5
44,40.4,--model=GRU --emsize=576 --nlayers=2 --lr=12 --bptt=16 --dropout=0.7920064410115172,Job succeeded,58
45,40.78,--model=GRU --emsize=196 --nlayers=3 --lr=12 --bptt=64 --dropout=0.5314641222987303,Job succeeded,82
46,41.07,--model=GRU --emsize=576 --nlayers=3 --lr=19 --bptt=320 --dropout=0.5818007358115782,Job succeeded,83
47,43.06,--model=LSTM --emsize=320 --nlayers=3 --lr=10 --bptt=196 --dropout=0.6931086080827177,Job succeeded,52
48,44.56,--model=LSTM --emsize=160 --nlayers=3 --lr=22 --bptt=64 --dropout=0.5615091450468297,Job succeeded,66
49,46.23,--model=LSTM --emsize=224 --nlayers=2 --lr=12 --bptt=320 --dropout=0.5636094716620372,Job succeeded,44
50,48.44,--model=GRU --emsize=256 --nlayers=2 --lr=10 --bptt=96 --dropout=0.7332829768583216,Job succeeded,81
51,76.4,--model=LSTM --emsize=196 --nlayers=3 --lr=40 --bptt=160 --dropout=0.8254484288524251,Job succeeded,37
52,78.91,--model=GRU --emsize=384 --nlayers=2 --lr=30 --bptt=32 --dropout=0.8753152723751113,Job succeeded,20
53,134.9,--model=GRU --emsize=128 --nlayers=2 --lr=40 --bptt=48 --dropout=0.3547842089571444,Job succeeded,12
54,173.87,--model=GRU --emsize=512 --nlayers=3 --lr=30 --bptt=64 --dropout=0.39381084573214614,Job succeeded,16
55,175.99,--model=GRU --emsize=256 --nlayers=3 --lr=40 --bptt=48 --dropout=0.6181395257196428,Job succeeded,74
56,inf,--model=GRU --emsize=1024 --nlayers=1 --lr=19 --bptt=96 --dropout=0.4821233263801662,Some constraints are not satisfied,11
57,inf,--model=GRU --emsize=1024 --nlayers=2 --lr=10 --bptt=256 --dropout=0.5810306464686485,Job failed,42
58,inf,--model=GRU --emsize=128 --nlayers=1 --lr=12 --bptt=256 --dropout=0.6758470732117708,Some constraints are not satisfied,69
59,inf,--model=GRU --emsize=256 --nlayers=1 --lr=20 --bptt=128 --dropout=0.6727213167144818,Some constraints are not satisfied,40
60,inf,--model=GRU --emsize=256 --nlayers=3 --lr=22 --bptt=196 --dropout=0.6438884174298847,Some constraints are not satisfied,45
61,inf,--model=GRU --emsize=320 --nlayers=1 --lr=15 --bptt=196 --dropout=0.19155687062657326,Some constraints are not satisfied,48
62,inf,--model=GRU --emsize=320 --nlayers=1 --lr=30 --bptt=96 --dropout=0.2742970480617848,Some constraints are not satisfied,78
63,inf,--model=GRU --emsize=384 --nlayers=3 --lr=25 --bptt=196 --dropout=0.1295817379710103,Some constraints are not satisfied,1
64,inf,--model=GRU --emsize=576 --nlayers=1 --lr=30 --bptt=64 --dropout=0.300404007817381,Some constraints are not satisfied,7
65,inf,--model=GRU --emsize=704 --nlayers=1 --lr=19 --bptt=128 --dropout=0.07638688471652956,Some constraints are not satisfied,39
66,inf,--model=GRU --emsize=704 --nlayers=3 --lr=30 --bptt=160 --dropout=0.6171320920920684,Some constraints are not satisfied,46
67,inf,--model=GRU --emsize=768 --nlayers=1 --lr=12 --bptt=64 --dropout=0.03825954377761908,Some constraints are not satisfied,14
68,inf,--model=GRU --emsize=768 --nlayers=3 --lr=30 --bptt=160 --dropout=0.34096468823036463,Job failed,4
69,inf,--model=GRU --emsize=896 --nlayers=1 --lr=30 --bptt=128 --dropout=0.6045608706234261,Some constraints are not satisfied,10
70,inf,--model=GRU --emsize=896 --nlayers=2 --lr=5 --bptt=256 --dropout=0.48801118065467836,Job failed,36
71,inf,--model=GRU --emsize=896 --nlayers=3 --lr=22 --bptt=160 --dropout=0.37359945447221954,Job failed,13
72,inf,--model=LSTM --emsize=128 --nlayers=1 --lr=25 --bptt=196 --dropout=0.5628478107694758,Some constraints are not satisfied,2
73,inf,--model=LSTM --emsize=128 --nlayers=1 --lr=30 --bptt=196 --dropout=0.2151423941041087,Some constraints are not satisfied,27
74,inf,--model=LSTM --emsize=128 --nlayers=1 --lr=30 --bptt=320 --dropout=0.37626794076799,Some constraints are not satisfied,59
75,inf,--model=LSTM --emsize=128 --nlayers=3 --lr=5 --bptt=196 --dropout=0.8399575245953507,Some constraints are not satisfied,61
76,inf,--model=LSTM --emsize=224 --nlayers=1 --lr=22 --bptt=96 --dropout=0.8679728771394473,Some constraints are not satisfied,50
77,inf,--model=LSTM --emsize=256 --nlayers=1 --lr=19 --bptt=320 --dropout=0.6983754647888931,Some constraints are not satisfied,70
78,inf,--model=LSTM --emsize=320 --nlayers=3 --lr=10 --bptt=128 --dropout=0.8822886728669027,Some constraints are not satisfied,31
79,inf,--model=LSTM --emsize=384 --nlayers=1 --lr=19 --bptt=96 --dropout=0.24139094734055835,Some constraints are not satisfied,3
80,inf,--model=LSTM --emsize=384 --nlayers=1 --lr=5 --bptt=96 --dropout=0.8887814906128597,Some constraints are not satisfied,51
81,inf,--model=LSTM --emsize=448 --nlayers=1 --lr=18 --bptt=128 --dropout=0.7213933068391357,Some constraints are not satisfied,55
82,inf,--model=LSTM --emsize=704 --nlayers=1 --lr=12 --bptt=320 --dropout=0.11003425153167883,Some constraints are not satisfied,6
83,inf,--model=LSTM --emsize=896 --nlayers=1 --lr=5 --bptt=196 --dropout=0.8984475221416409,Job failed,68
